,videoId,thumbnail,title,descriptionSnippet,publishedTimeText,lengthText,viewCountText,Link
20,G6skPgQJvM8,https://i.ytimg.com/vi/G6skPgQJvM8/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGMgZShWMA8=&rs=AOn4CLCZq7fKKo2uEEDKCblKyWcMFdRmTQ,Turu fights intruder! | TRHK EP306 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,30 seconds,"32,194 views",https://www.youtube.com/watch?v=G6skPgQJvM8
21,MghNRwUJfDA,https://i.ytimg.com/vi/MghNRwUJfDA/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgSShHMA8=&rs=AOn4CLDN4Jylfy1Yn9djU7CrQrrUvBpJ0w,Aswito is entering the box | TRHK EP305 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"15 minutes, 6 seconds","196,965 views",https://www.youtube.com/watch?v=MghNRwUJfDA
22,wmBt7_GCw-k,https://i.ytimg.com/vi/wmBt7_GCw-k/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgUihVMA8=&rs=AOn4CLCj81u0uyczLy-kqxwak8MmdAMhdQ,Falasi nayo sipadi | TRHK EP305 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"8 minutes, 29 seconds","127,675 views",https://www.youtube.com/watch?v=wmBt7_GCw-k
23,GlQIXvV03HA,https://i.ytimg.com/vi/GlQIXvV03HA/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AHUBoAC4AOKAgwIABABGGUgWShKMA8=&rs=AOn4CLCfbHuB1pNLMhabwwkQjpxTwT2yJQ,Character Development Loading! | TRHK EP305 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,41 seconds,"30,007 views",https://www.youtube.com/watch?v=GlQIXvV03HA
24,DGq29TEfKCU,https://i.ytimg.com/vi/DGq29TEfKCU/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEkgSShlMA8=&rs=AOn4CLApB-XMJ4_oL3xDEVczUCD5wSH4QA,Njambi amehamisha nyumba?! | TRHK EP 304 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"11 minutes, 55 seconds","216,787 views",https://www.youtube.com/watch?v=DGq29TEfKCU
25,H7mqWJeZvjA,https://i.ytimg.com/vi/H7mqWJeZvjA/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEQgQih_MA8=&rs=AOn4CLBGxMYCE1zUBh0T6xyqNFGgyXxF6g,Utamu wa watermelon ni mbegu! | TRHK EP304 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"9 minutes, 29 seconds","172,663 views",https://www.youtube.com/watch?v=H7mqWJeZvjA
26,t3MSu5QgM5Q,https://i.ytimg.com/vi/t3MSu5QgM5Q/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEkgQyhlMA8=&rs=AOn4CLBaVsqa2nI9E0-IbCOmGGMmrVVH6w,Wataka mume wa watu kwani? | TRHK EP304 PROMO,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,31 seconds,"24,543 views",https://www.youtube.com/watch?v=t3MSu5QgM5Q
27,5ONvedHrBOQ,https://i.ytimg.com/vi/5ONvedHrBOQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgXShTMA8=&rs=AOn4CLA033DT__MwPH2GlBvAvzs_Xn3R4Q,Papa Frank gat this | TRHK EP303 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"13 minutes, 52 seconds","182,739 views",https://www.youtube.com/watch?v=5ONvedHrBOQ
28,ZeAsqFCtFsE,https://i.ytimg.com/vi/ZeAsqFCtFsE/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgUSgsMA8=&rs=AOn4CLCV3aoZRLkv4gGD6tYw4d3PS1ImwA,Village witches awakuji wedding | TRHK EP303 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"9 minutes, 19 seconds","146,306 views",https://www.youtube.com/watch?v=ZeAsqFCtFsE
29,2v_-d8vNQfM,https://i.ytimg.com/vi/2v_-d8vNQfM/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGH8gPCgkMA8=&rs=AOn4CLDTbPAwl25XKxvY7pkJDD3BGZuoZQ,Senorita sasa ni nani? | TRHK EP303 PROMO,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,31 seconds,"20,631 views",https://www.youtube.com/watch?v=2v_-d8vNQfM
